,0
1,0.4305859597969547
2,0.7157665794589091
3,0.3908615484222234
4,0.6921045175125616
5,0.34996054774987184
6,0.43864529495392335
7,0.2184598559094656
8,0.6537754835732524
9,0.8061953266602595
10,0.4211800982634575
11,0.924201224281274
12,0.22442948496722367
13,0.35843571863234586
14,0.2601572876926598
15,0.367667690978865
16,0.5574812459782141
17,0.3115526494261451
18,0.45756870455084286
19,0.30185698465824157
20,0.4274402059944835
21,0.33413510166248894
22,0.3059272266498039
23,0.2566896583027697
24,0.43475491002468036
25,0.903253683617402
26,0.6195555110911931
27,0.42103557167243266
28,0.07352046217182548
29,0.2340283459719854
30,0.26370174024684745
31,0.6466094316612221
32,0.56592292729319
33,0.3394484311374346
34,0.26005598872354685
35,0.25554634121038894
36,0.6638986941366715
37,0.6565132496127455
38,0.5481304578597485
39,0.35251644133511567
40,0.6623188079029985
41,0.3328754152305469
42,0.3362614421313664
43,0.3627502749757495
44,0.5969263859636798
45,0.2688429919909882
46,0.30027143687586083
47,0.38939275888438807
48,0.37212357078460717
49,0.3498151840987765
50,0.8175134875755053
52,0.2730475185225674
53,0.4039659820081028
54,0.23792056915880574
55,0.47162114380604137
56,0.4367241965039007
57,0.45476923202724656
58,0.29215318561311227
59,0.6321353650164702
60,0.42280704659245233
61,0.7616733226083418
62,1.0
63,0.27382046483705885
64,0.680168454739485
65,0.4800943412829635
66,0.7587109232879446
67,0.44611936791556883
68,0.211342099338857
69,0.4619058574183729
70,0.512196565699974
71,0.5775894618134746
72,0.2547938484118435
73,0.20748286512296032
74,0.4825825923718873
75,0.9388864079304922
76,0.4744441870910268
77,0.7860996409109742
78,0.32793379461676964
79,0.6317423379062971
80,0.30346012350283286
81,0.6757589936953796
82,0.474321101848733
83,0.7957249079297395
84,0.5551594680096277
85,0.7536044785002199
87,0.9656496262349954
88,0.5763093405047627
89,0.5525885936959912
90,0.4871373710264133
91,0.6025129853775499
92,0.3490609581502322
93,0.6299049335042163
94,0.42493164063518596
96,0.4270875043420485
97,0.4048826417740359
98,0.7171268171685038
99,0.5028602967053498
100,0.5214592738845054
101,0.702691751853397
102,0.36459399316869157
103,0.7976131941542732
104,0.5438782876065708
106,0.7475868703905406
107,0.6205397337951056
108,0.7660334920660227
109,0.5219442706379562
110,0.35117794346947095
