,Parietal,PFC,OFC,MTL
1,0.017817398767234458,0.02350308824558787,0.030996963184790692,0.05128650603023466
2,0.020025701196425272,0.0214674106580327,0.06582353899363194,0.09358656778093401
3,,,,
4,0.013688618943428084,0.017048422683413635,0.04892697091996985,0.02568446546493085
5,0.011258101998847171,0.02336504557402021,0.02029762831068062,0.05418612250417703
6,0.01180023106556577,0.013815827459521765,0.023799005276978428,0.07279067974649404
7,0.01633307686557575,0.020331963263225086,0.033687822586948565,0.04337736683427271
8,0.035083967342940406,0.06238218204703019,,0.10926547531288348
9,0.011453620861193,0.01316308487219376,0.02634450621762494,0.0490063831608517
10,0.009379139495356865,,0.009861250535699173,0.03035549517564236
11,0.015660789823897063,0.016779141503216594,,
12,0.011843003381315623,0.013109390897694109,,
13,0.006636961400471888,0.007968265138908876,,
14,0.014180685790723983,0.017924826686973146,,
15,,,,
16,0.01794526581317176,0.02033344415547685,,
17,,,,
