,Parietal,PFC,OFC,MTL
1,0.03280338233887372,0.028777507630698074,0.03650824456652653,0.04218393592241956
2,0.03967908554458634,0.03580803814157316,0.05042483445894996,0.048255791535124055
3,,,,
4,0.04214726753552108,0.04244432586377513,0.04535371117780886,0.04014979405003009
5,0.03671982129374544,0.03709892492458228,0.039158301094567464,0.03608863850404607
6,0.049247510641893096,0.0454487520043721,0.055420595654233004,0.05704976063940275
7,0.025339605338180825,0.02464818896402525,0.024306865177051315,0.03324539392417149
8,0.04745448160661077,0.04504884753434674,,0.06383453443808718
9,0.026559492887332527,0.022959241638119313,0.028754407239662376,0.04341394009816652
10,0.04017755485721805,,0.04095272348514086,0.03303592281207246
11,0.03575022177053079,0.0360094194150092,,
12,0.0351989710584555,0.032384621553472166,,
13,0.0182288691628285,0.018802518965635454,,
14,0.02976805093685698,0.03282044735321788,,
15,,,,
16,0.03295269611168904,0.029559693998593605,,
17,,,,
