,Parietal,PFC,OFC,MTL
1,0.0618029076891201,0.05306780147829512,0.07250103183067766,0.08596801612002047
2,0.08157730278735278,0.09103087253574207,0.04127590327029809,0.0077751454938278855
3,,,,
4,0.05809102352935713,0.06417012198033953,0.030757361598408032,0.05465921114525104
5,0.09916266003394181,0.05088069543989603,0.1081730908388121,0.15205135206400702
6,0.07109470084044694,0.07806987654168872,0.05667211553277965,0.017208526125037784
7,0.1194682308786251,0.11365475634941763,0.12696775851547606,0.14481700806030456
8,0.09561814527429872,0.10645484354486193,,0.140918395955876
9,0.050357275705645126,0.05093428591562617,0.02977948628863917,0.1059669492959369
10,0.11213662574958465,,0.11344925598022851,0.10051189287365503
11,0.07185898815345224,0.07185570499448746,,
12,0.05951744105881104,0.06339474635565875,,
13,0.04964289366403035,0.05775812006753718,,
14,0.06303377465836817,0.045614291537144656,,
15,,,,
16,0.015806763608320226,0.02893301751106077,,
17,,,,
