,0,1
290,246744,STH
291,1149,CIDEA
292,5365,PLXNB3
293,8909,ENDOU
294,64579,NDST4
295,8632,DNAH17
296,1740,DLG2
297,10110,SGK2
298,283455,KSR2
299,129881,CCDC173
300,56111,PCDHGA4
301,126755,LRRC38
302,401036,ASB18
303,4987,OPRL1
304,167359,NIM1K
305,460,ASTN1
306,9177,HTR3B
307,1501,CTNND2
308,1007,CDH9
309,8941,CDK5R2
310,8522,GAS7
311,93107,KCNG4
312,127833,SYT2
313,63908,NAPB
314,51090,PLLP
315,3352,HTR1D
316,57731,SPTBN4
317,25827,FBXL2
318,9244,CRLF1
319,84457,PHYHIPL
320,118611,C10ORF90
321,27065,NSG1
322,1191,CLU
323,58524,DMRT3
324,135924,OR9A2
325,10893,MMP24
326,3850,KRT3
327,2016,EMX1
328,158471,PRUNE2
329,57495,NWD2
330,57221,ARFGEF3
331,84915,FAM222A
332,55532,SLC30A10
333,3797,KIF3C
334,23657,SLC7A11
335,170850,KCNG3
336,374454,KRT77
337,825,CAPN3
338,124930,ANKRD13B
339,54886,PLPPR1
340,114900,C1QTNF4
341,85446,ZFHX2
342,4744,NEFH
343,8507,ENC1
344,7074,TIAM1
345,150297,C22ORF42
346,59283,CACNG8
347,100129128,KHDC1L
348,4160,MC4R
349,8537,BCAS1
350,23632,CA14
351,56135,PCDHAC1
352,2346,FOLH1
353,4905,NSF
354,10661,KLF1
355,2890,GRIA1
356,285220,EPHA6
357,128414,NKAIN4
358,114,ADCY8
359,54557,SGTB
360,114815,SORCS1
361,64748,PLPPR2
362,7473,WNT3
363,4355,MPP2
364,84623,KIRREL3
365,56104,PCDHGB1
366,5142,PDE4B
367,22987,SV2C
368,1131,CHRM3
369,8745,ADAM23
370,80059,LRRTM4
371,5798,PTPRN
372,22986,SORCS3
373,1271,CNTFR
374,6010,RHO
375,2911,GRM1
376,197021,LCTL
377,8471,IRS4
378,51289,RXFP3
379,143162,FRMPD2
380,9362,CPNE6
381,136371,ASB10
382,54437,SEMA5B
383,6710,SPTB
384,84059,ADGRV1
385,6323,SCN1A
386,51209,RAB9B
387,146845,CFAP52
388,116085,SLC22A12
389,402117,VWC2L
390,7070,THY1
391,3756,KCNH1
392,6543,SLC8A2
393,414149,ACBD7
394,7857,SCG2
395,26038,CHD5
396,3765,KCNJ9
397,57464,STRIP2
398,344901,OSTN
399,780776,TVP23A
400,283116,TRIM49B
401,3231,HOXD1
402,114824,PNMA5
403,9211,LGI1
404,348303,SELENOV
405,219736,STOX1
406,22979,EFR3B
407,6476,SI
408,88,ACTN2
409,80816,ASXL3
410,3042,HBM
411,7067,THRA
412,85315,PAQR8
413,5860,QDPR
414,59335,PRDM12
415,9806,SPOCK2
416,93145,OLFM2
417,5173,PDYN
418,57282,SLC4A10
419,254778,VXN
420,153328,SLC25A48
421,773,CACNA1A
422,10815,CPLX1
423,50944,SHANK1
424,55966,AJAP1
425,6754,SSTR4
426,4184,SMCP
427,1000,CDH2
428,25830,SULT4A1
429,198437,LKAAEAR1
430,401097,C3ORF80
431,196051,PLPP4
432,390205,LRRC10B
433,954,ENTPD2
434,81628,TSC22D4
435,2253,FGF8
436,146395,GSG1L
437,50651,SLC45A1
438,23229,ARHGEF9
439,1944,EFNA3
440,196541,METTL21C
441,4023,LPL
442,64219,PJA1
443,219409,GSX1
444,10718,NRG3
445,399697,CTXN2
446,140767,NRSN1
447,56776,FMN2
448,284434,NWD1
449,23418,CRB1
450,4613,MYCN
451,57512,GPR158
452,57642,COL20A1
453,345222,MSANTD1
454,343637,RSPO4
455,6870,TACR3
456,1745,DLX1
457,59351,PBOV1
458,133690,CAPSL
459,81615,TMEM163
460,55117,SLC6A15
461,5100,PCDH8
462,2983,GUCY1B1
463,253982,ASPHD1
464,64850,ETNPPL
465,9283,GPR37L1
466,5680,PSG11
467,9951,HS3ST4
468,200373,CFAP221
469,10409,BASP1
470,4142,MAS1
471,1012,CDH13
472,154790,CLEC2L
473,83648,FAM167A
474,56062,KLHL4
475,26103,LRIT1
