,GeneID,symbol
303,1135,CHRNA2
304,374786,EFCAB5
305,81618,ITM2C
306,6585,SLIT1
307,29965,CDIP1
308,763,CA5A
309,84432,PROK1
310,4915,NTRK2
311,343172,OR2T8
312,50804,MYEF2
313,51559,NT5DC3
314,100287404,USP17L19
315,643394,SPINK9
316,6440,SFTPC
317,317701,VN1R2
318,81849,ST6GALNAC5
319,286380,FOXD4L3
320,5569,PKIA
321,118427,OLFM3
322,54550,NECAB2
323,5578,PRKCA
324,6346,CCL1
325,22854,NTNG1
326,123872,DNAAF1
327,10439,OLFM1
328,5575,PRKAR1B
329,2831,NPBWR1
330,170961,ANKRD24
331,5650,KLK7
332,401498,TMEM215
333,54766,BTG4
334,5475,PPEF1
335,116443,GRIN3A
336,89792,GAL3ST3
337,221833,SP8
338,246744,STH
339,1149,CIDEA
340,29930,PCDHB1
341,5365,PLXNB3
342,8909,ENDOU
343,64579,NDST4
344,8632,DNAH17
347,1740,DLG2
348,10110,SGK2
349,283455,KSR2
350,129881,CCDC173
351,56111,PCDHGA4
352,126755,LRRC38
353,401036,ASB18
354,4987,OPRL1
355,167359,NIM1K
356,460,ASTN1
357,9177,HTR3B
358,1501,CTNND2
360,1007,CDH9
361,8941,CDK5R2
362,8522,GAS7
363,93107,KCNG4
364,127833,SYT2
365,63908,NAPB
366,51090,PLLP
367,3352,HTR1D
368,57731,SPTBN4
369,25827,FBXL2
370,9244,CRLF1
372,84457,PHYHIPL
373,118611,C10orf90
374,4161,MC5R
375,647060,SPATA31A1
376,27065,NSG1
377,1191,CLU
378,58524,DMRT3
379,135924,OR9A2
380,375318,AQP12A
381,10893,MMP24
382,3850,KRT3
383,2016,EMX1
384,158471,PRUNE2
385,4632,MYL1
386,57495,NWD2
387,57221,ARFGEF3
388,728379,USP17L26
389,84915,FAM222A
390,55532,SLC30A10
391,3797,KIF3C
392,23657,SLC7A11
393,338567,KCNK18
394,170850,KCNG3
395,374454,KRT77
396,825,CAPN3
397,124930,ANKRD13B
398,54886,PLPPR1
399,114900,C1QTNF4
400,85446,ZFHX2
401,4744,NEFH
402,8507,ENC1
403,646480,FABP9
405,7074,TIAM1
406,728386,USP17L5
407,150297,C22orf42
408,59283,CACNG8
409,29947,DNMT3L
410,100129128,KHDC1L
411,4160,MC4R
412,8537,BCAS1
413,23632,CA14
414,56135,PCDHAC1
415,2346,FOLH1
416,4905,NSF
417,10661,KLF1
419,2890,GRIA1
420,285220,EPHA6
422,128414,NKAIN4
423,100288072,SDR42E2
424,114,ADCY8
425,54557,SGTB
426,114815,SORCS1
427,64748,PLPPR2
428,7473,WNT3
429,4355,MPP2
430,84623,KIRREL3
