,GeneID,Symbol,Synonyms
109,165,AEBP1,ACLP
110,166,TLE5,AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5
111,172,AFG3L1P,AFG3|AFG3L1
112,174,AFP,AFPD|FETA|HPAFP
113,175,AGA,AGU|ASRG|GA
114,176,ACAN,AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD
115,177,AGER,RAGE|SCARJ1
116,178,AGL,GDE
117,181,AGRP,AGRT|ART|ASIP2
118,182,JAG1,AGS|AGS1|AHD|AWS|CD339|DCHE|HJ1|JAGL1
119,183,AGT,ANHU|SERPINA8|hFLT1
120,185,AGTR1,AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R
121,187,APLNR,AGTRL1|APJ|APJR|HG11
122,189,AGXT,AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6
123,190,NR0B1,AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2
124,191,AHCY,SAHH|adoHcyase
125,196,AHR,RP85|bHLHe76
126,197,AHSG,A2HS|AHS|APMR1|FETUA|HSGA
127,199,AIF1,AIF-1|IBA1|IRT-1|IRT1
128,202,CRYBG1,AIM1|ST4
129,203,AK1,HTL-S-58j
130,204,AK2,ADK2
131,205,AK4,AK 4|AK3|AK3L1|AK3L2
132,207,AKT1,AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA
133,208,AKT2,HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA
134,210,ALAD,ALADH|PBGS
135,211,ALAS1,ALAS|ALAS-H|ALAS3|ALASH|MIG4
136,212,ALAS2,ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA
137,213,ALB,HSA|PRO0883|PRO0903|PRO1341
138,214,ALCAM,CD166|MEMD
139,215,ABCD1,ABC42|ALD|ALDP|AMN
140,216,ALDH1A1,ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1
141,217,ALDH2,ALDH-E2|ALDHI|ALDM
142,218,ALDH3A1,ALDH3|ALDHIII
143,219,ALDH1B1,ALDH5|ALDHX
144,220,ALDH1A3,ALDH1A6|ALDH6|MCOP8|RALDH3
145,221,ALDH3B1,ALDH4|ALDH7
146,222,ALDH3B2,ALDH8
147,223,ALDH9A1,ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH
148,224,ALDH3A2,ALDH10|FALDH|SLS
149,225,ABCD2,ABC39|ALDL1|ALDR|ALDRP|hALDR
150,226,ALDOA,ALDA|GSD12|HEL-S-87p
151,229,ALDOB,ALDB|ALDO2
152,230,ALDOC,ALDC
153,231,AKR1B1,ADR|ALDR1|ALR2|AR
154,238,ALK,CD246|NBLST3
155,240,ALOX5,5-LO|5-LOX|5LPG|LOG5
156,241,ALOX5AP,FLAP
157,242,ALOX12B,12R-LOX|ARCI2
158,245,ALOX12P2,ALOX12E
159,247,ALOX15B,15-LOX-2
160,248,ALPI,IAP
161,249,ALPL,AP-TNAP|APTNAP|HOPS|TNALP|TNAP|TNSALP
162,250,ALPP,ALP|ALPI|IAP|PALP|PLAP|PLAP-1
163,251,ALPG,ALPPL|ALPPL2|GCAP
164,257,ALX3,FND|FND1
165,258,AMBN,AI1F
166,262,AMD1,ADOMETDC|AMD|SAMDC
167,266,AMELY,AMGL|AMGY
168,267,AMFR,GP78|RNF45
169,268,AMH,MIF|MIS
170,269,AMHR2,AMHR|MISR2|MISRII|MRII
171,271,AMPD2,PCH9|SPG63
172,272,AMPD3,-
173,273,AMPH,AMPH1
174,274,BIN1,AMPH2|AMPHL|CNM2|SH3P9
175,275,AMT,GCE|GCST|GCVT|NKH
176,277,AMY1B,AMY1
177,279,AMY2A,AMY2|PA
178,283,ANG,ALS9|HEL168|RAA1|RNASE4|RNASE5
179,284,ANGPT1,AGP1|AGPT|ANG1
180,285,ANGPT2,AGPT2|ANG2
181,286,ANK1,ANK|SPH1|SPH2
182,287,ANK2,ANK-2|LQT4|brank-2
183,288,ANK3,ANKYRIN-G|MRT37
184,290,ANPEP,APN|CD13|GP150|LAP1|P150|PEPN
185,291,SLC25A4,AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1
186,292,SLC25A5,2F1|AAC2|ANT2|T2|T3
187,293,SLC25A6,AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y
188,301,ANXA1,ANX1|LPC1
189,302,ANXA2,ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV
190,303,ANXA2P1,ANX2L1|ANX2P1|LPC2A
191,305,ANXA2P3,ANX2L3|ANX2P3|LIP2|LPC2C
192,306,ANXA3,ANX3
193,307,ANXA4,ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36
194,308,ANXA5,ANX5|ENX2|HEL-S-7|PP4|RPRGL3
