,region,T1T2,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3,DRD1,DRD2,DRD3,DRD4,DRD5,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,CHRNA10,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR3A,HTR3B,HTR3C,HTR4,HTR5A,HTR6,HTR7,GRIA1,GRIA2,GRIA3,GRIA4,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B,GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GABRR1,GABRR3,VIP,PV+,SOM
60,p32pr,1.226257086,0.285250366,1.668331265,-0.407631814,0.574918211,-1.306086183,1.506291986,-1.074963689,1.288461566,-1.511416912,0.657480061,-0.470495462,-0.152462542,0.112881199,1.643347144,-1.308229685,-0.192302391,-0.088433087,0.5671615,0.809544981,-1.13670361,-1.739646673,0.591050267,-0.021975188,-1.382850051,1.228521705,-1.292869449,-0.628563106,0.050943714,1.359512329,0.092561103,-0.693342507,-1.600470662,0.380459577,-0.705421805,-0.507983804,0.869058728,-0.116628014,0.686932445,-1.16036737,-1.111836076,-0.250383735,-1.308627605,-1.53223145,2.233782768,0.25013712,-0.626500726,-0.400790691,-0.58048439,-1.055145144,-0.178299457,1.20281148,-1.25244534,0.537561297,1.721728563,0.1998218,-0.170661882,0.015214419,0.550840259,0.295632035,0.134070829,0.153023049,-0.752136171,0.871694684,0.581998885,1.619058967,-0.083946407,0.46724996,0.890406489,2.732089758,-0.465371042,-0.737188339,0.068425186,1.816426635,-0.811093271,1.104948163,-2.538063526,0.543113232,-1.448872924,0.556537569,-1.15061903,-0.368895948,0.029364454,-0.084247507,-0.984723091,-2.610443354,1.726903915,0.616483927,-0.000197212,-0.339175135,-0.522597194,0.999128938
61,a24,1.13665688,-0.05420262,1.373272538,-1.201313138,0.032035049,0.979077876,1.232875109,-1.422902703,2.115493059,-1.46214962,1.09932673,-1.416910052,-0.499486476,0.792677283,1.764623523,-0.90695852,-2.006267309,0.574088573,0.563506782,-2.222985744,-0.44441089,0.458539695,1.594802856,0.354943842,0.112484291,0.632030547,-0.999365747,-2.502742529,0.3705585,1.584808588,1.052662849,-0.575949967,-0.539255023,-0.238217548,-1.248612285,-0.440751761,0.111457951,0.862644196,1.582400203,-0.071375959,0.120302647,-0.069440581,0.408719599,-0.447291553,2.325344086,1.079815865,0.574623466,1.144680023,0.55054456,-0.161536887,-0.906775832,0.830386102,0.683563113,1.457484603,1.972666383,-0.595134318,1.171361685,0.748393834,1.16210568,-0.375941575,1.43077302,1.874962091,0.187546104,-0.377763242,-2.42940259,1.544225216,2.088894129,2.096558094,1.272745013,1.747653484,1.368001461,-1.438816428,2.141315937,1.713045716,-0.68141073,1.870010734,-1.474356055,2.077883482,-1.303507566,1.706960559,-0.901971459,2.237763882,2.034400463,-1.182658434,-0.41473031,0.280359656,2.793992758,-0.17688711,-2.1115098,0.608134329,-2.055066109,2.087670088
62,d32,1.184410214,-0.052465875,1.236544967,-0.440123856,0.694607139,0.199583963,1.371797442,-2.035650492,1.679960847,-0.990083337,-0.996064186,-1.628300667,-1.22952795,-0.618173659,1.99143064,-0.649411559,-0.953274846,-0.039667755,0.919861615,-0.614653587,-0.073353514,0.41945678,1.590445757,0.175184742,0.324965864,2.161525726,-0.661511004,-1.057794452,0.346235365,1.402215481,0.730487645,-0.717532992,-1.047784209,0.399648994,-1.138610125,-0.202116251,0.097488023,-0.037240501,0.763755083,-0.428480417,-0.537664831,-0.758678854,-0.55225563,-0.479040027,2.396261215,0.403143108,0.205614299,0.460507035,0.372074068,0.790027678,-0.591690838,0.307890832,1.33781302,1.608679056,1.487516642,0.362947494,0.971425116,-0.978472114,1.940547347,1.064521194,0.500340223,1.487939596,-0.779315948,-0.668928206,-0.379112959,1.946838498,1.345960617,1.138198972,0.920697808,2.030053616,1.419468522,-0.476538002,1.197577953,1.840642571,-0.716597319,1.442700267,-1.189552784,1.631319165,-0.313512504,0.796041191,-0.043842737,0.883109748,1.215694547,-1.097831964,-0.872049689,-0.730711043,2.02281642,0.203174874,-0.811825633,0.055011831,-0.874052405,1.640578389
63,8BM,1.212914824,-1.138840675,0.778496861,0.640551329,1.103340745,-0.698540747,0.888256907,-1.129938126,0.575590789,-0.892664194,-0.600193202,-0.541778564,-0.454796195,-0.202198029,1.062283158,-0.003768828,0.642039418,0.006777779,0.267619312,-0.245475069,-0.904493451,-0.092920125,0.263172537,0.175144762,-0.306182325,2.013599157,-0.251452148,-1.526168585,0.003613765,1.239999771,-0.234995574,-0.425938249,-1.21035254,1.182429552,-0.457597256,0.039063692,0.38493824,-0.300353289,-0.204277039,-0.278236747,-0.557701528,-0.986902475,-0.70693469,-0.742675662,1.269604683,-0.527984023,-0.639243662,-0.01553114,-0.488957733,0.617002666,0.196450666,0.674387813,-0.370106518,0.455119163,0.817683578,-0.361401409,-0.192409053,-0.512446582,1.027554154,0.367650658,-0.12681365,0.56782645,-0.626118064,-0.449932188,0.584016085,1.125256538,-0.817944109,-0.177462488,0.608505249,1.49461484,-0.604925871,0.215562955,-0.3729029,0.988503277,-0.337085813,0.758654833,-1.715233088,0.074929371,-0.254717439,0.497743875,-0.092811644,-0.92278707,-0.717377722,-0.370459169,-0.795645237,-1.984325767,0.423426241,-0.680085838,-0.419080973,-0.900544643,0.144932628,0.274595141
64,p32,1.172899723,-1.38211298,1.097091436,-0.586344182,0.75844425,2.03717041,0.621376872,-0.792365789,1.200674534,-1.850833654,0.616106749,-2.299189806,-1.621909499,-0.058167879,1.175717592,0.868418872,-1.847130775,0.955443859,-0.758204579,-1.567599893,-0.333946347,0.790165424,0.884234428,-1.186717272,0.850362241,1.65175283,-0.456962764,-1.523580194,-0.709207356,1.439955354,0.777357459,-0.738591373,-0.577398002,0.321274459,-0.545108318,0.249478921,0.078094624,0.210904926,1.091073632,0.968336284,-0.763223588,-0.576495886,1.88302958,-1.563630342,1.606657267,0.427490115,0.031756788,0.779855192,1.080652475,0.725840151,0.329712093,1.103317618,0.620158076,2.554456472,1.345917344,-1.790399551,0.970797479,-2.068830967,0.391362399,-0.605210423,1.163958192,1.416451693,0.903323054,0.188902617,-2.272524357,0.887299836,2.389890909,1.855264068,0.983104408,0.612511635,0.257073998,-0.329519719,1.629782677,1.346219301,0.042112213,1.352513671,-0.880034268,1.453189015,0.141338229,1.345562696,-0.268921643,0.70138067,1.818332672,-0.389601946,0.00936398,-1.204974294,1.408005595,-0.516020417,-2.10495019,1.60981071,-0.831088305,1.649541736
65,10r,1.209611833,-1.099555254,1.003700137,-0.70826757,0.852013707,1.155767322,0.856398523,-0.403116792,1.260222793,-1.645531416,0.565097034,-1.803720713,-1.492998362,-0.339183956,0.674422204,1.045356512,-1.750777125,1.011457562,-0.819887519,-0.482855678,-0.339445353,0.200518519,0.527076423,-0.950889468,0.850297213,1.372567773,-0.526259601,-1.345057964,-0.52228874,1.402353883,0.542830169,-0.60221684,-0.059908714,0.027835788,-0.210455179,0.328139752,0.170146078,0.072958089,1.065561175,1.209007263,-0.384355307,-0.444513589,1.766958117,-1.098168254,1.092824578,0.296408236,-0.094230808,0.769786179,1.140721798,0.045368917,0.518069088,1.295801997,0.223026872,2.031123161,1.032315135,-1.603171587,1.009830356,-1.715304852,0.531598151,-0.988511682,1.161429286,1.662983298,1.008908629,0.315413088,-2.137063742,0.930415034,2.459150553,1.798206329,1.001384377,0.189519465,0.085414439,-0.271470845,1.565000415,0.871002614,0.14143616,0.87341243,-1.011091709,1.002195358,0.159164339,0.985026181,-0.181162462,0.289548904,1.70904994,-0.463514805,-0.11263781,-0.830285847,0.852482617,-1.176511049,-2.043512583,1.932882905,-0.42080912,1.36694479
66,47m,1.386428475,-0.494723439,0.370066613,0.103104375,0.423493832,1.71814692,-0.761192381,-0.186303481,-0.251756936,-0.18917501,0.180720776,-0.039686244,-1.522356987,0.617517471,0.099525124,0.91849345,0.272926778,0.856922567,0.082122304,-0.584210098,-1.325780749,1.646406054,0.082533434,0.136602521,-0.391380191,0.979188144,0.571431994,0.701351821,0.925722122,1.497270465,0.264296621,-0.042798262,0.094117276,0.565466464,-0.031997725,0.57897824,-0.216470003,0.310808837,0.669949889,0.432821006,0.468854427,-0.643596232,0.704501271,-0.201508328,0.326058388,-0.34916994,0.353985906,0.056243669,0.010561642,1.306330919,0.791694224,0.189880297,-0.315295041,0.591035128,0.713334382,-1.299425244,0.262560278,0.306857497,0.832784534,0.124295168,-0.055786788,1.755094409,0.084277593,-0.278439611,-1.125656962,0.051689941,0.42908299,0.391590685,0.545235753,-0.378805995,0.377080917,0.639693499,0.108236201,0.257041246,-0.060751483,0.762040854,-0.933501363,0.124706544,-0.008751456,1.312344909,-0.188358381,0.044415187,0.018698502,-0.188058898,0.436973184,0.659572601,0.046484262,-0.1807594,-0.473665684,0.951557755,0.347367048,0.705257833
67,8Av,1.25958091,-1.713703513,0.111753888,0.384387404,0.296533734,0.519145787,0.176676095,-0.336555302,0.633865893,-0.616535842,-1.105536342,-0.775784671,-1.099000692,1.063908696,0.209510013,0.104675815,-0.089111567,-0.281265438,0.138462409,0.099014297,-0.830439329,-0.202618822,-0.051979266,0.273907483,1.229361415,0.794422984,0.475465804,-0.497908145,0.123968892,1.151193857,-0.225538522,0.260891676,-1.740798116,0.817219019,-0.12780568,0.188397929,0.763961494,-1.205588102,-0.909452438,-0.015757764,0.247480899,-1.323617578,0.466237873,-0.081704289,0.365101278,-1.207615733,-1.024215102,0.076242194,-0.025607429,0.419011235,0.822146416,0.367859036,0.516385853,0.548657894,0.089887768,-0.802737653,-0.447767645,-0.458259225,0.281482548,-0.491852343,-1.114965558,0.099503204,-0.420726389,-0.773519337,0.579709172,-0.036895253,-1.070746303,-0.961996138,-0.294194013,0.648973644,-0.557789147,0.576625109,-0.958507657,0.422500074,-0.296296,-0.102663569,-0.694690287,-0.111162804,0.219648242,-0.050308876,0.548804462,-0.842519164,-0.918293297,-0.092731036,-0.069307685,0.113880172,-0.550852656,0.790757537,1.241343737,-0.805662632,0.61164856,-0.380675673
68,8Ad,1.239441812,-1.918700099,0.402705818,-0.061188594,0.550254226,0.293745846,0.003052501,-1.022256613,0.144561976,-1.421800613,-1.579171419,-0.959640622,-0.967580974,0.038714256,0.351699501,-0.181765467,-0.475175798,-0.106636502,0.048083466,-0.436201394,-0.904517412,-0.178929672,0.260712236,-0.347873867,1.003624439,1.576655149,-0.096924543,-0.564943671,-0.368994921,0.834214211,-0.106903583,-0.243521169,-1.453605056,0.446394444,-0.642033339,-0.136305138,0.080296785,-0.694938481,-0.177696213,-0.379305601,-0.441820621,-1.139858127,0.285593033,-0.918111205,0.763651669,-1.021635532,-0.606413782,-0.079749793,-0.388166904,-0.260912955,-0.350392789,-0.486210108,1.170334339,0.420404166,0.500639021,-0.750836849,0.04345715,-0.155974314,0.708351672,-0.227676138,-1.130779862,0.506910205,-1.022745371,-1.301791787,-0.36754784,0.558212399,-1.076245546,-1.025707245,-0.269024283,0.246529207,-0.967050731,0.184906632,-0.549372911,0.330952376,-0.738799155,0.198075011,-0.089993566,0.217084914,-0.357171565,-0.08884576,0.29970324,-0.342761785,-0.105895966,-0.599505723,-1.218294978,-1.648227215,-0.24391447,-0.847307265,-0.177201003,-1.145886302,0.135613635,0.079791978
69,9m,1.161360621,-1.148911119,0.83615464,-0.112372339,0.866970658,1.507117033,0.871250093,-0.898420036,1.18158555,-1.892270088,-0.580952644,-2.245463371,-1.996121168,-0.995705187,0.788040996,0.93992281,-1.125779271,0.69055742,-0.465766579,-1.144807458,0.171217382,0.79063046,0.613766849,-1.139614582,1.106955409,2.158546209,-0.392969221,-1.171522498,-0.913644314,1.328716874,0.467336833,-0.960078716,-1.263441086,0.48434177,-0.864394546,0.149353132,-0.519528687,-0.171368062,0.306085795,0.722123921,-1.250769496,-0.803920209,0.811021626,-1.463050961,1.089583874,0.225481719,0.32618615,0.319295824,1.242115855,1.743322015,0.720687747,1.048716784,1.018703103,1.840035677,1.011091113,-0.664799631,0.871113479,-1.407233596,1.075830579,0.219288155,1.027407408,1.544401646,0.426640898,-0.028372187,-0.634765148,1.230777144,1.440044165,1.243898392,0.743946671,1.221390367,0.705102384,-0.121629111,0.841077924,1.277779698,0.042727821,0.89387387,-0.879537642,0.981504023,0.316006154,1.09663558,0.193798319,0.031243788,0.812176764,-0.537339926,-0.417636007,-1.488893867,1.038083792,-0.092653014,-0.95683825,0.830432713,-0.457264125,1.144302487
70,8BL,1.18559587,-1.681957364,0.365450531,0.70966953,0.211464003,-0.389646471,0.680795848,-0.817807317,0.429461032,-0.881279707,-1.504573226,-0.246571854,-0.322197467,-0.126159072,0.402481437,0.014047449,0.243301228,-0.009914875,-0.107334331,-1.362308025,-1.543763518,-0.306298345,0.337786317,0.148144066,0.296084821,1.431848645,0.098784916,-0.74178499,-0.255237103,0.497175485,-0.425751716,-0.343687534,-1.338803768,0.621598005,-0.799591184,-0.000141621,-0.462993562,-0.644687235,-0.620928586,-0.322763383,-0.496686667,-1.071272254,-0.030734189,-0.898039997,0.628545105,-0.754266083,-0.337336212,-0.238429189,-0.508343518,0.545901418,-0.264193594,0.090193771,-0.142935723,0.081139557,0.369883209,-0.707331896,-0.433257163,0.283864975,0.91249162,0.241381645,-0.44555968,0.587726533,-0.805399656,-0.883669317,0.264240086,0.969353735,-1.124201655,-0.618864894,-0.027729206,0.573898196,-1.050723672,0.117308602,-0.436785549,0.71971643,-0.459871292,0.337534219,-1.236734986,-0.135664657,-0.102054901,-0.086699709,0.149915889,-1.335017085,-0.595905304,-0.358545393,-1.083987951,-1.920851469,-0.235511065,-1.23364222,-0.013393236,-1.1874125,0.09940362,0.003632171
71,9p,1.185980916,-1.043494701,0.432658017,0.253129661,0.284714639,0.364747941,0.578402877,-0.694050729,0.43326965,-0.980692565,-1.70037663,-1.331822634,-1.369266868,-0.952204704,0.362446308,0.556602895,-1.046501756,0.414641559,0.049343709,-0.079056397,-0.39692089,0.870993495,0.187299505,-0.894466698,0.803605795,2.490798473,0.133906469,-0.42638281,-0.474887013,0.849793673,0.509396017,-0.159776613,-1.146193504,0.127474204,-0.883372068,-0.084708028,-0.518335819,-0.714308739,0.287056267,0.773566604,-0.522188723,-0.847872972,0.396675885,-0.589104235,0.455180049,-0.47777012,0.453313887,0.204243228,0.334212989,1.051242828,-0.042019174,-0.257956862,0.849517584,1.357942104,0.247159556,-0.164200768,0.099920176,-1.659408689,1.317021728,-0.381913453,-0.284548223,1.301406741,-0.447498024,-0.781703293,-0.313147008,0.757790864,0.474711299,-0.120966561,-0.047421616,0.495246202,0.241164982,-0.057382919,0.213263288,0.420929939,-0.402796358,0.215983927,-0.712786257,0.710648298,-0.191857144,0.011400204,0.349982053,-0.343176216,0.231552616,-0.690710247,-1.23069036,-0.875680923,-0.107390642,-0.983940005,-0.398890376,-0.226134777,-0.085780449,0.474112839
72,10d,1.195522189,-2.160141468,0.387431651,-0.143363521,1.652611494,2.37982893,-0.557932675,-0.080592684,0.873015821,-2.165884733,-0.633894742,-2.801206112,-2.329732418,-1.762926698,-0.007915363,1.559744358,-1.793300748,0.885668278,-1.539653659,-0.213690177,0.09976884,2.422061682,0.467768162,-1.844076872,2.132928371,2.243650913,-0.366851538,-0.983413398,-1.460862517,1.735626221,0.312673926,-1.263039112,-0.319906503,0.47516197,-0.049301032,0.223845586,-0.613703609,-0.542378068,0.287863821,1.768180609,-1.716961861,-1.153055906,2.448618174,-2.209780216,0.407510966,-0.234145612,-0.407623678,-0.084042668,1.596101642,1.61233151,1.578072071,1.017249107,0.876005173,2.533468723,0.371397018,-1.925992966,0.554167807,-3.076046705,0.146580771,-0.614213228,0.96582377,0.760029435,1.225293398,0.087739184,-1.522626877,0.119038664,1.8994416,1.139211655,0.754418135,-0.156208262,-0.340907216,0.048752915,0.569374084,0.452489853,0.052395161,0.324635118,0.089495525,0.676318526,1.275038362,0.31333074,0.398966074,-0.309219241,1.194929361,-0.640502095,0.024131142,-1.53880012,0.140480772,-0.377796173,-1.231185198,2.393316269,0.031931091,0.85610497
73,8C,1.306948125,-1.405309916,0.086468697,0.534259617,0.603754938,0.24307178,-0.363805324,-0.433263183,0.400438368,-0.737855256,-1.261679769,-0.803339899,-1.509568691,1.088843226,-0.177812681,0.151095733,0.156093031,-0.46066606,0.397991776,-0.314529419,-0.572581589,0.841909766,0.126932144,0.29113698,1.860090494,0.785294116,0.643285811,-1.033384562,-0.310400873,1.374434829,-0.437249869,0.069580913,-1.501739264,0.754366219,-0.184497371,-0.32850796,1.708490014,-0.994792163,-0.627078116,-0.289240688,0.199258313,-1.593168139,0.397592694,-0.46426332,0.151686028,-1.489346743,-0.968900621,0.025163937,-0.212370947,-0.057998024,0.681897163,-0.15712595,1.06697607,0.681391478,-0.011288764,-0.744406819,-0.132182255,0.512411237,-0.081187852,0.336942703,-1.523095012,0.081195027,-0.779286325,-1.236967087,0.743229568,-0.292017013,-0.79755491,-1.232549191,-0.377105504,0.201771975,-0.393137515,0.641295135,-1.411466479,-0.054800175,-0.448203206,-0.323575824,-0.015045498,-0.457841367,0.080293499,-0.476960659,0.58496362,-1.061584115,-1.475593567,-0.240530446,0.039783832,0.177182749,-0.567846298,1.343543649,1.068080544,-0.746556401,0.712208867,-0.012109754
74,44,1.264461875,-0.884663224,0.579450548,0.8845945,1.272445321,1.361287832,-0.295933306,-1.020739555,-0.272146076,-0.003182955,-1.514963269,-0.725771844,-1.876421571,0.192008033,1.103104353,0.597468197,-0.5027951,0.627121985,0.773447454,-0.240894437,-1.09005332,0.224295616,0.011037195,0.357239574,0.396185666,0.178101376,0.9931041,-1.258492708,-0.286285162,1.110759854,0.296418935,0.436387271,0.259619236,1.492056131,-0.244107157,-0.312235743,1.176973939,-0.358295053,0.271299809,-0.139364749,-0.210586041,-1.000146747,0.242757842,-0.256947905,0.538596749,-0.51705873,0.060814079,0.922445059,-0.067751572,0.894436598,-0.851171851,-0.732268214,0.286234468,0.475107342,0.549569726,-0.34815231,0.623750448,-0.62579459,1.133445501,0.668995738,-1.010733724,1.650653958,-1.468370676,-0.842043281,-0.39595148,0.004596824,-0.297524989,-0.644984126,0.362839997,0.495401472,1.527369738,0.476763666,-0.427649438,0.338846058,-0.822710037,0.252243549,-0.404813945,0.815228641,-0.185729221,0.372139156,0.677155256,0.216259807,-0.351491123,-0.838676333,0.470838845,0.616965652,-0.015316851,0.334469765,-0.875524938,-1.227861047,0.336534142,0.608498156
75,45,1.302220821,-0.643383503,-0.083949469,0.518226981,1.526559234,1.257663965,-0.850633144,-1.035230875,0.075471938,0.085481301,-1.683326244,-0.536481977,-2.120568037,0.572974861,0.461852372,1.08526659,-0.459975958,0.807306886,0.861201227,0.173874021,-0.968902707,1.155656815,-0.185281292,0.518010259,-0.083745368,0.656849325,1.076426148,-0.692453682,0.646624625,1.24415648,-0.321591675,0.625715137,-0.174433306,1.106783748,-0.122264452,-0.449220657,0.546413362,-0.362128317,0.020535411,0.396503538,0.503560126,-1.283397675,0.615185142,0.412080884,0.469576657,-0.868277133,0.377677739,0.676285207,-0.152677178,0.288557351,-0.105217941,-0.824552596,-0.152049392,0.590074778,0.580698371,-0.633448184,0.32636714,-0.077321298,1.153157353,0.524045229,-1.201357126,1.846133709,-1.177868724,-1.458546281,-0.702858627,-0.511018097,0.009991411,-0.702820003,0.32553938,-0.226676479,1.095638275,0.64283067,-0.87681216,-0.34371832,-0.715565622,0.172946379,-1.104076385,0.392260015,0.036935452,0.167785823,0.622942984,0.108848743,-0.231403306,-0.832052708,0.418481767,1.127953053,-0.286506891,0.066143475,-0.952253103,-0.600557268,0.510716975,0.571532071
76,47l,1.240766346,-0.162183776,0.392368287,0.215789616,0.886714518,1.09232688,-0.186907008,-0.453229636,0.132833421,0.103779778,-0.632802904,-0.11927814,-2.002494574,0.546033084,0.350691527,1.132402897,0.334281504,0.983198941,0.602529705,-0.258964211,-1.616248488,0.94328177,-0.154013768,0.312603891,-1.14072144,0.695163012,0.867959857,0.498669088,0.994136333,1.208351493,0.189673692,0.14362739,0.235576898,0.655137956,-0.276740372,0.052980281,0.024308924,0.403682768,0.525463879,0.757409036,0.323939294,-0.621985197,0.529740393,-0.035586581,0.481819898,-0.333369315,0.453531861,0.33800298,0.159706905,0.710001647,0.613471031,0.045484856,-1.127472639,0.606417477,0.969447076,-1.060490966,0.833565533,-0.192507774,0.676801622,-0.100608945,-0.411295086,1.615891099,-0.616862833,-0.816920936,-0.984306931,0.001771003,0.536620975,0.241920769,0.496475965,-0.408246338,0.855295539,0.52427268,0.051837262,0.272145092,-0.229462534,0.663888395,-1.219755292,0.48337242,-0.075600922,1.071950436,0.176977605,0.430091888,0.155855924,-0.389996737,0.369174868,0.825224876,0.146650761,-0.146586224,-0.688776314,0.478092372,0.204592571,0.754605532
77,a47r,1.197318614,-0.293247491,0.10199149,0.081630394,0.716602266,1.791821599,-0.763758481,0.064924292,0.303058177,-0.101425938,-0.427746415,0.038537938,-2.112098217,0.452238858,-0.143955871,0.760752916,0.225235537,0.89923209,0.340555042,0.053786442,-1.512645721,1.652957439,-0.615490317,0.144409195,0.361227334,1.376767755,0.66778475,0.30722338,0.824871778,1.797438979,0.197198063,-0.16049549,0.26931119,0.759354413,-0.027686147,0.062114812,0.2047645,-0.387709111,0.323512495,1.087640166,0.282243013,-1.052791715,1.578957319,-0.952267706,-0.023899734,-0.718208075,0.028151872,0.095734648,0.171949148,-0.206280604,1.087954283,0.370599985,-0.278676897,0.686315715,0.501450598,-1.482363224,0.102575153,0.504562438,0.498822063,-1.315250754,-0.443992466,1.055198073,0.265510947,-0.378817737,-0.563292265,-0.161616698,1.153897643,0.247502744,0.438160747,-1.616353512,-0.520021617,0.573245764,0.128345877,-0.03310531,0.540288031,0.244189337,-0.449983746,0.201520666,0.212848589,0.7329849,0.222013041,-0.265208989,0.550251782,0.047813069,0.600073457,0.650000453,-0.640623152,-0.974046528,-0.780634046,1.255473018,0.119679883,0.285015941
78,6r,1.266700864,-0.924527586,0.851207137,0.823225796,1.102611423,0.199179605,0.090530984,-0.414293736,-0.060023993,-0.229452029,-0.653943717,-0.672711968,-1.155108213,0.528644502,0.282622337,0.502095044,0.07242088,0.091520652,0.142613083,-0.210288122,-0.648545444,-0.034880821,0.086130306,-0.408574015,0.893257439,0.324530065,0.586351216,-1.697907329,-0.720974028,0.912088931,0.198232532,-0.055211496,-0.479229689,1.426431894,-0.270253032,-0.217297986,1.90736568,-0.586505651,0.36827293,-0.681203067,-0.904094517,-0.912258923,-0.227589503,-0.681849658,0.229290232,-0.664286315,-0.802806199,-0.086189106,0.159528598,0.969299495,0.078207202,0.188599154,0.258645087,-0.038433723,0.382779926,-0.464947104,0.526060939,-0.764244616,0.382867843,0.191172451,-0.576914608,0.677363992,-0.94905597,-0.627494812,0.432709515,0.389994353,-0.751745522,-0.411343724,0.288852096,0.721584558,0.448045284,0.184780046,-0.442240417,0.664194763,-0.519459963,0.113641389,0.194302946,0.023292698,-0.022851376,-0.091658078,0.157419905,-0.154301405,-0.638222992,-0.63082546,0.532752454,-0.577670097,0.245849431,0.023218701,-0.340599358,-1.087029815,0.399499595,0.400422305
79,IFJa,1.351678669,-1.187954187,0.40319708,0.95301789,0.649675727,0.172017887,-0.467674226,-0.618106186,0.075485453,-0.486681134,-1.246777534,-0.781321108,-1.515072703,0.716368139,-0.075646922,0.274491102,-0.58009243,0.00368196,0.457908332,-0.500837922,-0.4529185,1.163628697,0.414557725,0.025024759,1.734688044,0.788499296,0.809817255,-1.870820999,-0.548677981,1.438518763,0.036769759,0.657217205,-0.842524111,1.127872229,-0.512435257,-0.406640053,1.842284083,-0.681719899,0.215546533,-0.614177704,-0.25286597,-1.38477993,-0.191764578,-0.738206685,0.363938361,-1.103237748,-0.514597476,0.20059602,0.191137642,0.275751114,0.02642921,-0.130888984,0.598672092,0.457141995,0.144413233,-0.433083743,0.454890609,0.37505722,0.30159241,0.400415182,-1.056373835,0.723240197,-0.780540287,-1.06886518,0.642522812,0.055815794,-0.400977165,-0.712035835,-0.115377285,0.391895056,0.318863153,0.386566907,-0.742367029,0.180490062,-0.474469185,-0.097773515,0.855818391,-0.005370138,-0.043874517,-0.270553291,0.430467814,-0.525166094,-0.723221421,-0.699088514,0.250715166,0.111734226,0.049884889,0.330315769,-0.191786081,-0.885948002,0.510912418,0.419396192
80,IFJp,1.335669279,-1.095731735,0.587882936,0.714180291,0.753151953,-0.200387627,-0.15036504,-0.414767236,0.242663875,-0.777912736,-0.859673321,-0.883032262,-1.046069145,0.855708539,-0.09364365,0.22611928,0.432052404,-0.653506637,0.173905805,-0.62970525,-0.704096854,0.454963684,0.224686146,-0.163254857,1.54630363,0.790850282,0.506290793,-1.299318075,-0.573735058,1.073136926,-0.072503127,0.178876162,-1.353649259,0.999101162,-0.600533366,-0.606018305,2.272723675,-0.7016837,-0.024741625,-0.782715857,-0.289912701,-1.398867726,-0.380984694,-0.373983771,0.348925591,-1.359402895,-1.427881718,-0.812313557,0.056070786,0.083063461,0.598602414,0.255983502,0.746575415,-0.000170272,0.082601085,-0.597171903,0.451995045,0.983209729,-0.040108297,0.657530129,-1.026200891,-0.093288541,-0.640448451,-1.493894815,1.14123714,0.516000271,-1.002802849,-0.937578022,-0.157172874,0.543732762,-0.741107404,0.301813453,-1.118778944,0.300079286,-0.432214469,0.047546681,0.534588635,-0.625793159,-0.007091151,-0.67846489,0.155943677,-0.832041979,-1.094975471,-0.417544067,0.280906826,-0.638771236,0.063727401,0.676231563,0.778565466,-0.831281543,0.516622961,0.15637213
81,IFSp,1.348102927,-1.179297447,-0.058469567,1.235522747,0.749578357,0.881804883,-0.934723675,-0.84615314,-0.337881625,-0.272580028,-1.445981979,-0.633064687,-1.862583518,0.58150512,-0.239064187,0.631989837,-1.126932263,0.114834227,0.890571058,-0.26983133,-0.382079363,1.7767694,0.360524237,0.495429695,1.360224485,0.833810091,1.149467945,-1.662627339,-0.160992026,1.52450335,-0.107544608,1.033216596,-0.267653346,1.072895288,-0.129085183,-0.271349877,1.323902369,-0.679777324,0.194637462,-0.123409748,0.341815025,-1.552148938,0.482274652,-0.324898094,0.394899726,-1.193959117,-0.233061954,0.510747671,-0.0158804,0.550387263,-0.642124653,-1.16089654,0.939858139,0.742430449,0.054245602,-0.606417596,0.312447101,0.496112615,0.773919761,0.711593509,-1.418092966,1.218114018,-0.935673475,-0.787212789,-0.102594271,-0.559068739,-0.045672499,-0.762360096,-0.141731188,0.004885226,0.867924094,0.825029433,-0.719973326,-0.299437046,-0.735886395,-0.222191468,0.803247452,0.607226551,0.099783078,-0.047526002,1.148424506,-0.321934491,-0.206511557,-0.854836285,0.179747388,0.825584292,-0.52886951,0.30191505,-0.541579366,-0.940893292,0.643111169,0.406138629
