,ID,enrichment,branch,depth,name,n_enriched,n_in_cat,ratio_in_study,ratio_in_pop,enrichment_ratio,pv
15305,GO:1990351,e,CC,2,transporter complex,76,311,0.027,0.017,1.564,0.038
15306,GO:1902495,e,CC,3,transmembrane transporter complex,74,303,0.026,0.017,1.563,0.038
15307,GO:0034702,e,CC,4,ion channel complex,69,281,0.024,0.016,1.572,0.043
16136,GO:1990904,p,CC,2,ribonucleoprotein complex,66,659,0.023,0.036,0.641,0.038
